total_dist_move,total_dwell_time,num_temp_checks,num_purges,num_unretract,num_lines_gcode,total_dist_print,num_fan_off,num_retract,num_bytes_gcode,filename,total_length_extruded,num_redundant_lines,num_lines_comment,num_fan_on,num_temp_changes,naive_print_time,total_temp_increment,num_lines_move,total_temp_decrement
385266.8618,0.371,5,3,2615,118610,246613.7539,7,2617,3304257,gcode/2016/08/01/10t_gear_ZWE1hEd_reoriented.gcode,6607.782065,81,583,333,5,10552.40651,220,103948,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/08/22/NVlogo-Whistle-positive-X2_tA6mOSb_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
378900.0009,0.043,5,3,368,65534,306624.8644,56,370,1822923,gcode/2016/09/28/5_inch_straws_reoriented_FptdaeZ.gcode,9055.673637,11,255,49,5,5453.849258,220,58921,220
101718.9877,0.076,5,3,261,14698,64126.32388,7,263,394700,gcode/2016/12/18/PAE1_Y_50_reoriented_HFvW7cr.gcode,3546.132402,12,290,70,5,1672.803095,220,12200,220
149835.6355,0.118,5,3,787,46313,92616.11785,7,789,1298196,gcode/2016/12/21/NVlogo-Whistle-positive-X2_ahmTXyk_reoriented.gcode,5535.516388,245,332,186,5,5065.69962,220,40991,220
665372.6167,0.042,5,3,1830,153250,588321.1691,409,1832,4307508,gcode/2016/09/26/middle_frame_top_reoriented.gcode,19238.72197,21,254,402,5,14302.58765,220,138612,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/11/02/NVlogo-Whistle-positive-X2_reoriented_uDAbWqO.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
140950.1564,0.067,5,3,588,48551,101965.2671,7,590,1361914,gcode/2016/07/12/NVlogo-Whistle-positive-X2_PrL77Gq_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
112699.0116,0.132,5,3,709,30362,57612.19584,8,711,836253,gcode/2016/06/18/wheel_connector_plug_reoriented_ehGRXnG.gcode,2048.922009,39,344,343,5,2334.758707,220,25540,220
1320975.067,0.83,5,3,2140,295666,1025480.739,14,2142,8401857,gcode/2016/08/15/PP0049-RevA_Purge-Collector_reoriented.gcode,22202.953,10,1042,345,5,30621.66349,220,275631,220
200306.0454,0.176,5,3,284,14841,128512.1541,8,286,379290,gcode/2016/09/23/super_bombul_reoriented.gcode,6674.284543,11,390,24,5,2684.369477,220,10993,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/08/22/NVlogo-Whistle-positive-X2_fF7NCdK_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
1211283.515,0.399,5,3,1689,884899,958182.2905,8,1691,25054553,gcode/2016/06/30/TShelf_reoriented.gcode,21071.86799,60,611,236,5,57445.80891,220,810788,220
156132.8481,0.075,5,3,229,15634,112242.821,18,231,419247,gcode/2016/11/18/Y_100_reoriented_GEu5h6K.gcode,5808.837683,10,289,34,5,2053.180746,220,13267,220
383533.6913,0.261,5,3,1820,240398,267981.0445,7,1822,6833080,gcode/2016/09/28/Ethanolv3_WsuukyP_reoriented.gcode,6676.40237,193,473,1477,5,26029.43839,220,221485,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/08/26/NVlogo-Whistle-positive-X2_fF7NCdK_reoriented_jpccBnr.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
90051.30799,0.128,5,3,626,20296,40338.72504,7,628,541783,gcode/2016/06/20/wheel_connector_plug_v2_reoriented.gcode,1673.215259,42,340,226,5,1767.116029,220,16119,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/08/26/NVlogo-Whistle-positive-X2_fF7NCdK_reoriented_jpccBnr.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/11/01/NVlogo-Whistle-positive-X2_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
112294.8297,0.034,5,3,341,37467,84724.34407,37,343,1053166,gcode/2016/09/21/Arc_Length_reoriented.gcode,3148.795262,13,246,105,5,3608.039722,220,34086,220
242561.7994,0.075,5,3,274,20881,197670.3957,14,276,573309,gcode/2016/11/30/PAE1_X_188_UQHjLvk_reoriented.gcode,10043.75111,17,289,29,5,2882.442212,220,18515,220
1364871.637,0.83,5,3,2072,331583,1066058.935,25,2074,9456777,gcode/2016/08/16/PP0049-RevA_Purge-Collector_reoriented.gcode,22911.04434,10,1042,308,5,28796.35969,220,311145,220
340819.1886,0.231,5,3,717,84284,228685.4134,9,719,2386875,gcode/2016/08/19/PP0050-RevB_Guide-Tube-Mount_t53tGYS_reoriented.gcode,11465.51909,22,445,201,5,7561.103013,220,75499,220
1018825.261,0.3,5,3,837,175160,905238.8483,7,839,4903665,gcode/2016/09/20/Pilot_Arc_Guard_reoriented_GM8SEJ0.gcode,21171.8291,82,512,174,5,20323.14805,220,155476,220
